iter	Passed	Remaining
618	978	602
619	980	600
620	981	599
621	982	597
622	983	595
623	984	593
624	985	591
625	986	589
626	987	587
627	988	585
628	989	583
629	990	581
630	990	579
631	991	577
632	992	575
633	994	574
634	995	572
635	997	570
636	998	568
637	999	566
638	1000	565
639	1000	563
640	1001	561
641	1002	559
642	1003	557
643	1004	555
644	1005	553
645	1006	551
646	1007	549
647	1008	548
648	1010	546
649	1011	544
650	1013	543
651	1014	541
652	1015	539
653	1016	537
654	1016	535
655	1017	533
656	1018	531
657	1019	530
658	1020	528
659	1021	526
660	1022	524
661	1024	522
662	1025	521
663	1026	519
664	1027	517
665	1028	515
666	1029	513
667	1030	512
668	1031	510
669	1032	508
670	1035	507
671	1036	505
672	1036	503
673	1038	502
674	1040	500
675	1041	498
676	1042	497
677	1042	495
678	1043	493
679	1044	491
680	1045	489
681	1046	487
682	1047	486
683	1048	484
684	1049	482
685	1050	480
686	1051	478
687	1053	477
688	1054	476
689	1056	474
690	1057	472
691	1058	471
692	1059	469
693	1060	467
694	1061	465
695	1061	463
696	1062	462
697	1063	460
698	1064	458
699	1065	456
700	1066	455
701	1068	453
702	1069	451
703	1070	449
704	1071	448
705	1072	446
706	1072	444
707	1073	442
708	1074	441
709	1075	439
710	1076	437
711	1077	435
712	1078	434
713	1079	432
714	1080	430
715	1081	428
716	1082	427
717	1084	425
718	1085	424
719	1086	422
720	1086	420
721	1087	418
722	1088	417
723	1089	415
724	1090	413
725	1091	411
726	1092	410
727	1093	408
728	1094	406
729	1095	405
730	1096	403
731	1098	402
732	1099	400
733	1100	398
734	1101	397
735	1102	395
736	1103	393
737	1104	392
738	1105	390
739	1106	388
740	1107	387
741	1108	385
742	1109	383
743	1110	382
744	1111	380
745	1113	379
746	1114	377
747	1115	375
748	1116	374
749	1116	372
750	1117	370
751	1118	368
752	1119	367
753	1120	365
754	1121	363
755	1122	362
756	1123	360
757	1124	358
758	1125	357
759	1127	355
760	1128	354
761	1129	352
762	1130	351
763	1130	349
764	1131	347
765	1132	346
766	1133	344
767	1134	342
768	1135	341
769	1136	339
770	1137	337
771	1138	336
772	1139	334
773	1140	332
774	1141	331
775	1142	329
776	1143	328
777	1144	326
778	1145	324
779	1146	323
780	1147	321
781	1148	320
782	1149	318
783	1150	316
784	1151	315
785	1151	313
786	1152	312
787	1153	310
788	1154	308
789	1156	307
790	1157	305
791	1158	304
792	1158	302
793	1159	300
794	1160	299
795	1161	297
796	1162	296
797	1163	294
798	1164	292
799	1165	291
800	1166	289
801	1167	288
802	1168	286
803	1169	285
804	1171	283
805	1172	282
806	1173	280
807	1174	278
808	1174	277
809	1175	275
810	1176	274
811	1177	272
812	1179	271
813	1180	269
814	1181	268
815	1182	266
816	1184	265
817	1185	263
818	1186	262
819	1187	260
820	1188	259
821	1189	257
822	1190	256
823	1191	254
824	1192	253
825	1193	251
826	1194	249
827	1195	248
828	1196	246
829	1197	245
830	1198	243
831	1200	242
832	1201	240
833	1202	239
834	1203	237
835	1205	236
836	1206	234
837	1206	233
838	1207	231
839	1208	230
840	1209	228
841	1210	227
842	1211	225
843	1212	224
844	1214	222
845	1215	221
846	1216	219
847	1217	218
848	1218	216
849	1219	215
850	1220	213
851	1220	212
852	1221	210
853	1222	209
854	1223	207
855	1224	206
856	1225	204
857	1226	203
858	1228	201
859	1229	200
860	1230	198
861	1231	197
862	1232	195
863	1233	194
864	1234	192
865	1235	191
866	1236	189
867	1237	188
868	1237	186
869	1238	185
870	1239	183
871	1240	182
872	1241	180
873	1243	179
874	1244	177
875	1245	176
876	1246	174
877	1247	173
878	1248	171
879	1248	170
880	1249	168
881	1250	167
882	1251	165
883	1252	164
884	1253	162
885	1254	161
886	1255	159
887	1256	158
888	1257	157
889	1259	155
890	1260	154
891	1261	152
892	1262	151
893	1263	149
894	1264	148
895	1265	146
896	1265	145
897	1266	143
898	1267	142
899	1268	140
900	1269	139
901	1270	138
902	1272	136
903	1273	135
904	1274	133
905	1275	132
906	1276	130
907	1277	129
908	1278	127
909	1279	126
910	1279	125
911	1280	123
912	1281	122
913	1282	120
914	1283	119
915	1284	117
916	1285	116
917	1286	114
918	1288	113
919	1289	112
920	1290	110
921	1292	109
922	1293	107
923	1293	106
924	1294	104
925	1295	103
926	1296	102
927	1297	100
928	1298	99
929	1299	97
930	1300	96
931	1302	95
932	1303	93
933	1304	92
934	1305	90
935	1306	89
936	1307	87
937	1308	86
938	1309	85
939	1309	83
940	1310	82
941	1311	80
942	1312	79
943	1313	77
944	1314	76
945	1316	75
946	1317	73
947	1318	72
948	1319	70
949	1320	69
950	1321	68
951	1322	66
952	1323	65
953	1324	63
954	1325	62
955	1326	61
956	1326	59
957	1327	58
958	1328	56
959	1330	55
960	1331	54
961	1332	52
962	1333	51
963	1334	49
964	1335	48
965	1336	47
966	1337	45
967	1338	44
968	1339	42
969	1339	41
970	1340	40
971	1342	38
972	1343	37
973	1344	35
974	1345	34
975	1346	33
976	1347	31
977	1348	30
978	1349	28
979	1350	27
980	1351	26
981	1352	24
982	1353	23
983	1354	22
984	1355	20
985	1356	19
986	1357	17
987	1358	16
988	1359	15
989	1361	13
990	1362	12
991	1363	10
992	1363	9
993	1364	8
994	1365	6
995	1366	5
996	1367	4
997	1368	2
998	1369	1
999	1370	0
